《Marginal note: 11th generation, Zhao position》Sho-sei
《Marginal note: 10th generation, Zhao position》Sen-i
《Marginal note: 9th generation, Zhao position》Sho-en
《Marginal note: 8th generation, Zhao position》Sho-taikyu
《Marginal note: 7th generation, Zhao position》Sho-shitatsu
《Marginal note: 6th generation, Zhao position》Sho-hashi
《Marginal note: 5th generation, Zhao position》Bunei
《Marginal note: 4th generation, Zhao position》Sei-i
《Marginal note: 3rd generation, Zhao position》Eiji
《Marginal note: 2nd generation, Zhao position》Eiso
《Marginal note: 1st generation, Zhao position》Shunbasen-ki
○Shunten
《Marginal note: Mu, 1st generation》Gihon
《Marginal note: Mu, 2nd generation》Taisei
《Marginal note: Mu, 3rd generation》Tamaki/Tamashiro
《Marginal note: Mu, 4th generation》Satto
《Marginal note: Mu, 5th generation》Shisho
《Marginal note: Mu, 6th generation》Sho-chu
