| Category | Record |
|----------|--------|
| Equipment Purchase | Meiji 18 (1885): The Maruyama-gumi acquired one Ryūdosui (hand-operated water pump). |
| Equipment Purchase | Meiji 19 (1886): The Honmura-gumi acquired one Ryūdosui. |
| Equipment Purchase | Meiji 19 (1886): The Demura-gumi acquired one Ryūdosui. |
| Equipment Purchase | Meiji 22 (1889): The Fukuhaku-gumi acquired one Ryūdosui. |
| Fire Brigade Authorization | Meiji 27 (1894), July 13: The Tomiyama Fire Brigade received official authorization. |
| Fire Brigade Chief Appointment | Meiji 27 (1894), September 26: Uchida Nuijirō was appointed as Brigade Chief (Kumigashira). |
| Equipment Procurement | Meiji 28 (1895): 77 happi coats, 77 lanterns, 1 ladder, and 1 fire bell (hanshō) were newly procured. |
| Equipment Procurement | Meiji 29 (1896): 2 kakuya (large wooden mallets) were newly procured. |
| Equipment Purchase | Meiji 32 (1899), January: The 6th Division newly purchased one wankō pump. |
| Equipment Purchase | Meiji 37 (1904), February: The 8th Division newly purchased one wankō pump. |
| Equipment Purchase | Meiji 38 (1905), October: The Maruyama-gumi newly purchased one wankō pump. |
