| 要目 | 記事 |
|------|------|
| 器具購入 | 明治18年（1885年）、円山組が龍吐水1台を購入した。 |
| 器具購入 | 明治19年（1886年）、本村組が龍吐水1台を購入した。 |
| 器具購入 | 明治19年（1886年）、出村組が龍吐水1台を購入した。 |
| 器具購入 | 明治22年（1889年）、福珀組が龍吐水1台を購入した。 |
| 消防組認可 | 明治27年（1894年）7月13日、富山消防組として正式に認可される。 |
| 消防組頭任命 | 明治27年（1894年）9月26日、内田縫次郎が組頭に任命された。 |
| 器具新調 | 明治28年（1895年）、法被77着・提燈77個・梯子1個・半鐘1個を新たに調達した。 |
| 器具新調 | 明治29年（1896年）、掛矢2丁を新たに調達した。 |
| 器具購入 | 明治32年（1899年）1月、第六部が腕甲ポンプ1台を新たに購入した。 |
| 器具購入 | 明治37年（1904年）2月、第八部が腕甲ポンプ1台を新たに購入した。 |
| 器具購入 | 明治38年（1905年）10月、円山組が腕甲ポンプ1台を新たに購入した。 |
