○ Chigo-zakura (Child Cherry)　　　　　　　○ Tono-zakura (Lord Cherry)
○ Shibayama-zakura (Shibayama Cherry) 《Also called Washino-o》 　　　○ Sakate-zakura (Reverse-hand Cherry)
○ Hotate-zakura (Scallop Cherry)　　　　　　　○ Hokake-zakura (Sail Cherry)
○ Komatsunagi-zakura (Horse-tethering Cherry) 《Including Komatome》 　　　　　○ Yama-zakura (Mountain Cherry) 《Red Yoshino Mountain Cherry｜White Mountain Kirigayatsu Cherry》
○ Ko-zakura (Small Cherry)　　　　　　　　○ Shiro-zakura (White Cherry)

○ Yukiyama-zakura (Snow Mountain Cherry)　　　　　　　○ Ichimoji-zakura (One-character Cherry)
○ Usuzumi-zakura (Light Ink Cherry)　　　　　　　　○ Kirigayatsu-zakura 《｜Also called》《Double-petaled Single-petaled｜Kurumagaeshi Cherry》 
○ Edo-zakura (Edo Cherry) 《Large｜Small》　　　　　　○ Hōrinji-zakura (Hōrinji Temple Cherry)
○ Edo-Hōrinji-zakura (Edo Hōrinji Cherry) 《Also called Hōzenji or Taisanfukun Cherry》
○ Rōma-zakura (Tower-space Cherry)　　　　　　　○ Kaidō-zakura (Begonia Cherry)
