Kakuchō-bai (Crane-crowned Plum)　　Kanjō-bai (Palace Plum)
Gyokuchō-bai (Jade Butterfly Plum)　　Kyō-bai (Apricot Plum)
Fuyu-bai (Winter Plum)　　　Sanpin-bai (Three-grade Plum)
Ga-bai (Reclining Plum)　　　Jūyō-bai (Double-petaled Plum)
Tansei-bai (Light Blue Plum)　　Jinrai-bai (Seeking Plum)

Ōjita-bai (Nightingale Tongue Plum)　　Seiken-ji (Seiken Temple)
Gin-bai (Silver Plum)　　　Asakayama (Shallow Fragrance Mountain)
Fuyuzaki Yae (Winter-blooming Double)　Nokiba-bai (Eaves Plum)
Suishi-bai (Weeping Branch Plum)　　Shima-bai (Island Plum)
Saigyō-bai (Saigyō Plum)　　Hachi-bai (Eight Plum)
