Grilled wheat gluten　　　　　　Dried bottle gourd strips　　　　　　　
Cockscomb seaweed　　　　　　　Great burdock leaves　　　　　　　　

Simmered tofu　　　　　　　　　Kudzu noodles　　　　　　　　
Pine greens　　　　　　　　　　Wood ear mushrooms　　　　　　

Boiled lotus root, cut and folded　　Split matsutake mushrooms　　　　　　　　　
Julienned Chinese yam　　　　　　Mishima seaweed　　　　　　　

Bayberry elbow cut　　　　　　　Fresh seaweed tofu　　　　　　　
Myoga buds　　　　　　　　　　Taro　　　　　　


Tsubo (unit)
Small turnips　　　　　　　　　　Roasted chestnuts　　　　　　　
Small [cut]　　　　　　　　　　Wood ear mushrooms, julienned　　　

Root tubers　　　　　　　　　　Small potatoes　　　　　　
Ground sesame　　　　　　　　　Rock mushrooms　　　　　　　

White bamboo grass mushrooms　　White tofu　　　　　　　
Burdock root, small rounds　　　　Seaweed　　　　　　　

Grated carrot　　　　　　　　　Daikon radish　　　　　　　　　　
Mozuku seaweed konjac　　　　　Seasoned vinegar
