Eggplant　　　　　　　　　　　Grilled wheat gluten　　　　　　
Green beans　　　　　　　　　　Needle-cut burdock root　　　　　　

Small taro　　　　　　　　　　　First bamboo shoots　　　　　　
Pine mushrooms　　　　　　　　　Eggplant　julienned　　　　　　

Shimeji mushrooms　　　　　　　　Pressed tofu　　　　　　
Roasted chestnuts　　　　　　　　Small steamer　　　　　　

Thread konnyaku　　　　　　　　　Crepe-textured tofu　　　　　　
Chorogi (Chinese artichoke)　　　　Needle-cut wasabi　　　　　　


Udo　round-peeled　　　　　　　　Tube tofu　　　　　　
Roasted sweet potato　　　　　　　Persimmon-colored burdock　　　　　　

Large bamboo ring tofu　　　　　　Pressed water chestnuts　　　　　　
　　　　Small rounds　　　　　　　Bean sprouts　　　　　　
Shared preparation　　　　　　　　　　　　　

Bound chestnuts　　　　　　　　　Thread wheat gluten　　　　　　
Duck melon　julienned　　　　　　Split butterbur　　　　　　

Pumpkin　　　　　　　　　　　　Parboiled leaves　　　　　　
Reverse grain　　　　　　　　　　Fresh kelp
