Steamed buns　　　　　　　　　　Simmered plums
Split preparation　　　　　　　　White-hair chestnuts

Shimeji mushrooms　　　　　　　　Very small sasaro
Roasted grains　　　　　　　　　Bracken fern

Plum rice cakes　　　　　　　　　Ice rice cakes
Hashigami nuts　　　　　　　　　Blue kelp

Radish sprouts　　　　　　　　　Hundred-generation flowers
Red chili peppers　　　　　　　　Daikon radish with leaves





Kannon-ji　　　　　　　　　　　Matsutake mushrooms
Nameko mushrooms　　　　　　　　Ring-cut yuzu citrus

Chikuwa tofu　　　　　　　　　　Koya tofu (freeze-dried tofu)
Spinach　　　　　　　　　　　　Sword beans julienned

Large pickled plums　　　　　　　Colored tofu
White beans with garnish　　　　　Vegetarian cuisine

Mizuna greens　　　　　　　　　　Icicle duck melon
Young seaweed shoots　　　　　　　First mushrooms of the season
