Sugar beans　　　　　　　　　　　Plum brocade confection

Wild plum confection　　　　　　　Scattered plum confection

Hard-skin baked confection　　　　Beach plover confection

Spring haze confection　　　　　　Jeweled drops confection

Diamond-shaped rice cake　　　　　Winter chrysanthemum confection





　　　　　　　Fresh Fruits Section

Premium persimmons　　　　　　　Apples

Mino persimmons　　　　　　　　Chestnuts





Gion-bo persimmons　　　　　　　Grapes

Small plums　　　　　　　　　　　Green pears

Wild strawberries　　　　　　　　Small pears

Wood strawberries　　　　　　　　Round persimmons

Loquats　　　　　　　　　　　　Yamato persimmons

Medium plums　　　　　　　　　　Chestnuts

Bungo plums　　　　　　　　　　Citrus

Mountain peaches　　　　　　　　Branch persimmons

Apricots　　　　　　　　　　　　Kunenbo citrus
