Same　　　　　Yasu-ya　Tamekichi
Sanuki Konpira　Oba-ya　Mohei
Same, Marugame　Taka-ya　Seizaemon
Awa Tokushima　Seto-ya　Tokuzō
Same　　　　　Tenman-ya　Takehei
Same　　　　　Kii-Kuniya　Sanemon
Omi Hikone　　Ogawa　Kyūhei
Echizen Fukui　Okazaki　Sakisuke
Same, Tsuruga　Noto-ya　Zenshichi
Owari Nagoya　Eiraku-ya　Tōshirō
Same　　　　　Yorozu-ya　Tōhei
Western Capital　Hishi-ya　Magohei
　　　　　　Izumo-ji　Bunjirō
　　　　　　Murakami　Kanbei
　　　　　　Tanaka-ya　Sensuke
　　　　　　Ishida　Chūhei
　　　　　　Tachibana-ya　Kyūhei
　　　　　　Chōji-ya　Genjirō
　　　　　　Yoshino-ya　Nihei
　　　　　　Yoshino-ya　Jinsuke
　　　　　　Tanaka-ya　Jihei
　　　　　　Tango-ya　Tokujirō
　　　　　　Chōji-ya　Tōkichirō
　　　　　　Chōji-ya　Eisuke
Tokyo　　　　Suhara-ya　Mohei
　　　　　　Yamashiro-ya　Sahei
