赤羽鏢蔵
《割書：初名 竹治》

頼寧君御代
一　文政六年癸未（1823年）正月二十三日、亡父久八の跡式として高十六俵二人扶持を下された。御徒士格を成し下され、当分呼吹勤を仰せ付けられた

一　文政十一年子（1828年）五月十日、追々年が立ったため御徒士順席を仰せ付けられ、これにより御加増を下され、高十八俵二人扶持を成し下された。勤務方法は当分これまでの通り

一　天保二年卯（1831年）正月十五日、御供方を仰せ付けられ、御徒士頭支配となった

一　同年十二月十八日、郷方物書を仰せ付けられ、郡代支配となった

一　天保十年亥（1839年）十二月十日、大納戸衣類方兼帯を仰せ付けられ、向後御用人支配となった

一　弘化二年巳（1845年）十月二十日、大納戸衣類方を御免となり、御次番を仰せ付けられた

一　同年十二月一日、御家中夜分足廻を仰せ付けられた

一　弘化三年午（1846年）六月三日、夏季にもなったので夜分相廻には及ばず、御次番へ罷出するよう通達があった

一　嘉永元年申（1848年）十一月八日、郷中諸運上取立方を仰せ付けられた

一　嘉永四年亥（1851年）十一月五日、御繰合により郷中諸運上取立方を滞りなく御免となり、御次番を仰せ付けられた
