The above is to be communicated to all relevant parties.
　　　　　　18th day of the 10th month

　　[Marginal note] Accordingly, the advance palanquin boxes (sakibako) of Etchū (Echizen) and Awa domains are to be discontinued; the same applies to the Shiba Hōjō residence. No foot soldiers (kachi); minimal retinue only. In all cases, for hereditary vassals (fudai) with domains between 10,000 and 100,000 koku, approximately four foot soldiers and more mounted attendants are to be used. The Ōmetsuke are to use a four-man retinue; the head of the guard (ban'gashira) and others are to discontinue the narrow palanquin boxes (hasami-bako), with double-carry becoming more common.

　The following are death tolls reported and confirmed thus far:

| Deaths | Lord/Domain | Deaths | Lord/Domain |
|--------|-------------|--------|-------------|
| 143 | Matsudaira Higo-no-kami (incl. 35 at the battery/fort) | 6 | Matsudaira Echizen-no-kami |
| 39 | Nanbu Mino-no-kami | | |
| 7 | Matsudaira Mino-no-kami | 3 | Sakai Saemon-no-jō |
| 79 (incl. 17 women, 8 children) | Matsudaira Sagami-no-kami | 14 | Sakakibara Shikibu-no-tayū |
| 13 | Matsudaira Kurando-no-kami | 102 | Matsudaira Shimōsa-no-kami |
| 5 | Matsudaira Oki-no-kami | 79 | Tsugaru Etchū-no-kami |
| 2 | Matsudaira Aki-no-kami | 4 | Sō Tsushima-no-kami |
| 2 | Matsudaira Etchū-no-kami | 22 | Akimoto Tajima-no-kami |
| 26 | Matsudaira Iga-no-kami | 8 | Honda Nakatsukasa-no-tayū |
| 11 | Abe Harima-no-kami | 5 | Matsudaira Mikawa-no-kami |
| 3 | Sakai Shuri-no-tayū | 11 | Ōta Settsu-no-kami |
| 10 | Tōdō Izumi-no-kami | 6 | Itakura Suō-no-kami |
| 7 | Ogasawara Sado-no-kami | 81 | Hotta Bitchū-no-kami |
| 11 (Sano) | Hotta Shintarō | | |
| 5 (Ōzu) | Katō Otosaburō | 2 | Nishio Oki-no-kami |
| 13 | Katō Ōkura-no-shō | 3 | Hosokawa Noto-no-kami |
| 5 (Maruoka) | Arima Chishirō | 25 | Makino Bizen-no-kami |
| 11 | Matsudaira Izu-no-kami | 4 | Makino Tōtōmi-no-kami |
| 5 | Matsuura Iki-no-kami | 4 (same) | Iwaki Masagorō |
| 8 | Matsuura Bungo-no-kami | 3 | Ōkubo Sado-no-kami |
| 9 | Sakai Ukyō-no-suke | 3 (same) | Katō Etchū-no-kami |
| | | 10 | Ogasawara Saemon-no-suke |
