label,manifestUrl,projectId,size,progress,attribution,thumbnail
若狭国太良庄地頭領家両方半済并預所職契約状案,https://iiif.khirin-labs.org/html/manifest/hyakugo/17689.json,hyakugo,3,1,京都府立京都学・歴彩館 Kyoto Institute, Library and Archives,https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11544_0001.tif/full/400,/0/default.jpg
野村宗椿料足請取,https://iiif.khirin-labs.org/html/manifest/hyakugo/10466.json,hyakugo,2,0,京都府立京都学・歴彩館 Kyoto Institute, Library and Archives,https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/029_07157_0001.tif/full/400,/0/default.jpg
大内義興奉行人連署禁制,https://iiif.khirin-labs.org/html/manifest/hyakugo/10463.json,hyakugo,2,2,京都府立京都学・歴彩館 Kyoto Institute, Library and Archives,https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/029_07154_0001.tif/full/400,/0/default.jpg
近江国三村庄代官河井重久寺用米請文,https://iiif.khirin-labs.org/html/manifest/hyakugo/17682.json,hyakugo,3,3,京都府立京都学・歴彩館 Kyoto Institute, Library and Archives,https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11537_0001.tif/full/400,/0/default.jpg
与四郎吉久東寺八幡宮々仕職条々請文,https://iiif.khirin-labs.org/html/manifest/hyakugo/10478.json,hyakugo,2,2,京都府立京都学・歴彩館 Kyoto Institute, Library and Archives,https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/029_07169_0001.tif/full/400,/0/default.jpg
検非違使別当宣,https://iiif.khirin-labs.org/html/manifest/hyakugo/17739.json,hyakugo,2,1,京都府立京都学・歴彩館 Kyoto Institute, Library and Archives,https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11587_0001.tif/full/400,/0/default.jpg
蓮池重継田地避状,https://iiif.khirin-labs.org/html/manifest/hyakugo/17666.json,hyakugo,2,1,京都府立京都学・歴彩館 Kyoto Institute, Library and Archives,https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11525_0001.tif/full/400,/0/default.jpg
讃岐法師定増若狭国太良庄領家方代官職条々請文,https://iiif.khirin-labs.org/html/manifest/hyakugo/17685.json,hyakugo,4,4,京都府立京都学・歴彩館 Kyoto Institute, Library and Archives,https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11540_0001.tif/full/400,/0/default.jpg
執行厳瑜請文,https://iiif.khirin-labs.org/html/manifest/hyakugo/17668.json,hyakugo,2,2,京都府立京都学・歴彩館 Kyoto Institute, Library and Archives,https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11527_0001.tif/full/400,/0/default.jpg
勢多章頼東寺寄検非違使俸禄請取,https://iiif.khirin-labs.org/html/manifest/hyakugo/17658.json,hyakugo,2,2,京都府立京都学・歴彩館 Kyoto Institute, Library and Archives,https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/046_11519_0001.tif/full/400,/0/default.jpg
松茸代銭注文,https://iiif.khirin-labs.org/html/manifest/hyakugo/10483.json,hyakugo,2,0,京都府立京都学・歴彩館 Kyoto Institute, Library and Archives,https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/029_07174_0001.tif/full/400,/0/default.jpg
会中講配文并講師問者等交名,https://iiif.khirin-labs.org/html/manifest/hyakugo/10514.json,hyakugo,56,16,京都府立京都学・歴彩館 Kyoto Institute, Library and Archives,https://iiif.khirin-labs.org/fcgi-bin/iipsrv.fcgi?IIIF=/hyakugo/029_07186_0001.tif/full/400,/0/default.jpg
