Bibliography of Sources Cited in the Buddhist Image Compendium

Āgama Sutra, Brahmajāla Sutra, Ākāśagarbha Sutra, Benevolent Kings Sutra Commentary
Vaipulya Sutra, Śūraṅgama Sutra, Sutra on Creating Heaven and Earth, Mahāvairocana Sutra Commentary  
Nirvana Sutra, Vimalakīrti Sutra, Kṣitigarbha's Ten Wheels Sutra, Avalokiteśvara Sutra Commentary
Lotus Sutra, Ten Kings Sutra, Seven Buddhas' Merit Sutra, Mandala Commentary
Mahāsaṃnipāta Sutra, Thousand-Armed [Avalokiteśvara] Sutra, Sutra on the Merit of Making Images, Essential Collection of Various Sutras
Prajñāpāramitā Sutra, Pure Name Sutra, Lotus Repentance Ritual, Essential Collection for Rebirth [in Pure Land]
Avataṃsaka Sutra, Rāgarāja Sutra, Same - Sectional Commentary, Collection of Meanings
Mahāvairocana Sutra, Adornment Sutra, Same - Teichin Commentary, Nishitani Nomenclature
Peacock Sutra, Relics Sutra, Same - Sentence Commentary, Luminous Commentary
Amitābha Sutra, Mahākāla Sutra, Perfect Enlightenment Commentary, Six Objects Illustration
Medicine Buddha Sutra, Staff Sutra, Amitābha Sutra Commentary, Ancient Compendium
