Ritsu (tuning pipes)　　　　　Shō (mouth organ)　　　　　Flute　　　　Hichiriki (double reed pipe)
Shakuhachi (bamboo flute)　　　　Shō (panpipes)　　　　　Kakko (hourglass drum)　　　Waist drum
Koto (zither)　　　　　Tō (pellet drum)　　　　　Kūkō (angular harp)　　　Genkan (four-stringed lute)
Moon lute　　　　Biwa (lute)　　　　Jikitotsu (monk's robe)　　　Ordinary robe
Court robe　　　　　Skirt　　　　　Hall robe of plain silk　　　Dharma robe
Twenty-five panel kesa　　Nine-panel kesa　　　Kesa (Buddhist stole)　　　Seven-panel kesa worn sideways
Rakusu (abbreviated kesa)　　　　Jōdo sect hanging stole　　Ring kesa　　　Mountain priest's robe
Sitting mat　　　　Hat　　　　　Sanai (Chinese horn)　　　Hossu (fly whisk)
Nyoi (ceremonial scepter)　　　　Goma altar　　　Sutra　　　　Prayer beads
Fan　　　　　Hand chime　　　　Incense stand　　　Crane and turtle
Incense burner　　　　Incense box　　　　Flower vase　　　Waniguchi (temple gong)
Flower plate　　　　Buddhist offerings　　　Hanging bell　　　Striking gong
