Kubota Genzaemon
　　　　　　　　　　　　　　　　　Yamadera Village
　　　　　　　　　　　　　　　　　　　Shiba Yasouemon
　　　　　　　　　　　　　　　　　Kurokōchi Village
　　　　　　　　　　　　　　　　　　　Kurokōchi Matasaburō
　　　　　　　　　　　　　　　　　Kainuma Village
　　　　　　　　　　　　　　　　　　　Uzuhashi Yūemon
　　　　　　　　　　　　　　　　　Nishi-Seba Village
　　　　　　　　　　　　　　　　　　　Nakamura Saburōji
　　　　　　　　　　　　　　　　　Shimo-Kawate Village
　　　　　　　　　　　　　　　　　　　Kasuga Gemon
　　　　　　　　　　　　　　　　　Hiraide Village

　　　　　　　　　　　　　　　　　　　Niimura Riemon
　　　　　　　　　　　　　　　　　Sawazoko Village
　　　　　　　　　　　　　　　　　　　Yamadera Uemon
　　　　　　　　　　　　　　　　　Kami-Yamada Village
　　　　　　　　　　　　　　　　　　　Maruyama Tarōzaemon
　　　　　　　　　　　　　　　　　Kitsuneshima Village
　　　　　　　　　　　　　　　　　　　Kozawa Tanemon
　　　　　　　　　　　　　　　　　Shimo-Tonoshima Village
　　　　　　　　　　　　　　　　　　　Karasawa Mozaemon
　　　　　　　　　　　　　　　　　Himochi Village
　　　　　　　　　　　　　　　　　　　Itō Chūhachi
　　　　　　　　　　　　　　　　　Kuribayashi Village
