Page 72-73

Right Page:
[Table with columns: Date | Shrine Class | Shrine Name | Deity | Location | Festival Elements | Entertainment | Historical Notes]

October 18th | Same | Shinmei Shrine | Amaterasu Omikami | Hanada-machi (Ishida) | Hanging lanterns | Theater | Established March 16, 1385 (Shitoku 2).

October 19th | Same | Kumano Shrine | Izanami-no-kami and 2 other deities | Iimura-machi (Hongo) | Hanging lanterns, decorative stands | Theater, naniwa-bushi, sweet sake, mochi throwing | Establishment unknown.

October 20th | Same | Hashira Shrine | Susanoo-no-mikoto and 7 other deities | Hashira-machi | Hanging lanterns | Theater, mochi throwing | Establishment unknown. Has copy of ridge plaque from 1364 (Joji 3).

October 21st | Non-ranked Shrine | Ichikishima Shrine | Ichikishima-no-mikoto | Muro-machi (Ichiba) | | Motion pictures, mochi throwing | Same as above. Has ridge plaque from June 1722 (Kyoho 7).

October 22nd | Village Shrine | Kama Shrine | Kunitokotachi-no-mikoto and 5 other deities | Oyama-machi (Higashi-iriyama) | Hanging lanterns | Theater, naniwa-bushi, sweet sake, mochi, clear sake | Same as above. Has ridge plaque from New Year's Day 1667 (Kanbun 7).

October 23rd | Same | Karasuzuka Shrine | Amaterasu Omikami and 9 other deities | Takasu-machi (Karasuzuka) | Same as above | Theater | Established July 1665 (Kanbun 5).

October 24th | Same | Hachiman Shrine | Oosazaki-no-mikoto | Isshiki-machi | Same as above | Theater, naniwa-bushi, sweet sake, mochi, sake | Establishment unknown. Has ridge plaque from auspicious day in 10th month of 1573 (Shoho 3).

October 24th | Same | Wakamiya Hachiman Shrine | Emperor Nintoku and 2 other deities | Funato-machi | Same as above | Theater, fireworks, mochi throwing, sake | Funato village development completed in 1630 (Kan'ei 7), and in March of 1631 (Kan'ei 8), the local tutelary Wakamiya Hachiman Shrine was established.

October 25th | Same | Hachiman Shrine | Emperor Ojin | Sato-machi | Same as above | Naniwa-bushi, sweet sake, mochi throwing, sacred sake | Establishment unknown.

October 25th | Same | Kasuga Shrine | Ame-no-koyane-no-mikoto | Kusama-machi (Terahigashi) | Same as above | Theater, naniwa-bushi, sweet sake, mochi throwing, sake | Establishment unknown. Has ridge plaque from auspicious day in June 1694 (Genroku 7).

October 25th | Same | Aoki Shrine | Amaterasu Omikami | Kitajima-machi (Takada) | | Theater | Established 1550 (Tenbun 19).

October 25th | Non-ranked Shrine | Susanoo Shrine | Susanoo-no-mikoto | Muro-machi (Onishi) | | Theater, swordsmanship, archery | Establishment unknown. Has ridge plaque from 1604 (Keicho 9).

October 26th | Village Shrine | Susanoo Shrine | Susanoo-no-mikoto | Ogasaki-machi | Hanging lanterns | Theater, naniwa-bushi, sweet sake, sake, mochi | Same as above. Has ridge plaque from December 11 of a Rat year during Kan'ei era.

October 26th | Same | Susanoo Shrine | Susanoo-no-mikoto | Ueda-machi (Nishinoyama) | Lion kagura | Theater, motion pictures, naniwa-bushi, sweet sake, mochi throwing, clear sake | Said to be established 770 (Hoki 1).

Left Page:
October 28th | Same | Susanoo Shrine | Susanoo Shrine and 1 other deity | Mukai-kusama-machi (Mukai-nishi) | Hanging lanterns | Theater, naniwa-bushi, sweet sake, mochi throwing, clear sake | Same as above. Has ridge plaque from auspicious day in September 1662 (Kanbun 2).

October 28th | Non-ranked Shrine | Matsushima Shrine | Mizuhanome-no-kami and 1 other deity | Muro-machi (Matsushima) | | Mochi throwing | Established 1662 (Kanbun 2).

October 29th | Village Shrine | Kuruma Shrine | Takemikazuchi-no-mikoto and 5 other deities | Ueda-machi (Yajiri) | Hanging lanterns | Theater, naniwa-bushi, motion pictures, sweet sake, mochi throwing, clear sake | Said to be established 725 (Jinki 2).

Old November 18th | Non-ranked Shrine | Kanayama Shrine | Kanayama-hiko-no-mikoto | Omura-machi (Kanayama) | | Naniwa-bushi, manzai | Established December 16, 1685 (Jokyo 2) by former Oiso village residents.

December 16th | Same | Akiba Shrine | Homusubi-no-kami | Higashida-machi (Nishiwaki) | | | Establishment unknown.

Page 73
