Kudzu manjū　　　　　　　　　　　Princess manjū

Rice manjū　　　　　　　　　　　　Namba yōkan

Sword bean manjū　　　　　　　　　Mung bean yōkan

Hand-picked yōkan　　　　　　　　　White yōkan

White bean paste rice cake　　　　　Grass bean paste rice cake

Corn rice cake　　　　　　　　　　　Oak leaf rice cake

Snow rice cake　　　　　　　　　　　Ginkgo rice cake

Water chestnut rice cake　　　　　　Whale rice cake

Chestnut flour rice cake　　　　　　Water rice cake

Fancy rice cake　　　　　　　　　　　Wheat gluten rice cake

Uirō rice cake　　　　　　　　　　　Satsuma rice cake

Poppy seed rice cake　　　　　　　　Sesame rice cake

Light flour rice cake　　　　　　　　Pear rice cake

Drizzle rice cake　　　　　　　　　　Sword-skin rice cake

Tea rice cake　　　　　　　　　　　　Barnyard millet rice cake

Camellia rice cake　　　　　　　　　Bamboo-wrapped rice cake

Grain rice cake　　　　　　　　　　　Mimasaka rice cake

Sleet rice cake　　　　　　　　　　　Mikawa rice cake
