11 私はあなたに腹を立てていました。
12 どうかお許しください。
13 あなたがそれを知らなかったのですから、お許しします。
14 何が悪かったのですか。
15 下痢でひどく体調を崩していたのです。
16 何日間床に臥せっていたのですか？
17 ほぼ75日間です。
18 とてもお弱りになったことでしょう。
19 はい、そのため誰か私の悲しみを
紛らわせてくれる人がほしいと思っていました。
20 でも、なぜ私を呼んでくれなかったのですか？
21 体調を崩している時に、どうしてあなたに
お会いしに来てくださいと言えるでしょうか？
22 私はあなたの友人ではないのですか？
23 はい、友人です。
24 では、なぜそうしなかったのですか？
25 まだおわかりになりませんか？
26 いえ、親愛なる友よ。
27 真の友は困った時にこそ試されるものです。
28 それは承知していますが、恐れてはいません。
29 冗談ですよ。
30 あなたの迅速な回復をお祝い申し上げます。
31 とても感謝しております。
32 Nさんにお会いになりましたか？
33 いえ、長い間会っていません。
34 彼は結婚したのです。
35 誰と結婚したのですか？
36 Mさんの娘とです。
37 彼女は結婚の際に彼にお金を
持参したのですか？それとも、彼は彼女と一緒にお金を得たのですか？
