**Group 5** (Suzuki-chō and neighboring towns)　　**Group 6** (Yosakuyashiki and neighboring towns)

- Deaths by disaster: 27 persons　　　　　　- Deaths by disaster: 8 persons
　　(Men: 10, Women: 17)　　　　　　　　　　(Men: 3, Women: 2)
- Collapsed houses: 66 buildings　　　　　　- Collapsed houses: 6 buildings
- Collapsed storehouses: 8 locations　　　　- Collapsed storehouses: 5 locations

**Group 7** (Hon-Hatchōbori-chō and neighboring towns)　　**Group 8** (Kanefusa-chō and neighboring towns)

- Deaths by disaster: 67 persons　　　　　　- Deaths by disaster: 79 persons
　　(Men: 19, Women: 48)　　　　　　　　　　(Men: 42, Women: 37)
- Collapsed houses: 156 buildings　　　　　- Collapsed houses: 494 buildings
- Collapsed storehouses: 26 locations　　　- Collapsed storehouses: 63 locations

**Group 9** (Shiba Kanasugi-dōri Itchōme and neighboring towns)　　**Group 10** (Azabu Tani-chō and neighboring towns)

- Deaths by disaster: 18 persons　　　　　　- Deaths by disaster: 11 persons
　　(Men: 5, Women: 13)　　　　　　　　　　(Men: 5, Women: 6)
- Collapsed houses: 115 buildings　　　　　- Collapsed houses: 29 buildings
- Collapsed storehouses: 10 locations　　　- Collapsed storehouses: none

**Group 11** (Kanda Rōsoku-chō and neighboring towns)　　**Group 12** (Kanda Sakuma-chō and neighboring towns)

- Collapsed houses: 154 buildings　　　　　- Collapsed houses: 66 buildings
- Collapsed storehouses: 32 locations　　　- Collapsed storehouses: 6 locations
