[Kiyo family genealogy - Generations 7-14]
Seven generations of Kiyo: Eight, Nine, Ten, Eleven, Twelve, Thirteen, Fourteen

《Note: Son of Kiyokane, Son of Kiyonushi, Son of Kiyohiro, Son of Kiyomune, Son of Kiyosada, Son of Kiyoshige, Son of Kiyotsugai, Son of Kiyosaki》
Kiyonushi, Kiyohiro, Kiyomune, Kiyosada, Kiyoshige, Kiyotsugai, Kiyosaki, Hōsei

《Note: Same, Son of Kiyoyū, Son of Kiyotomo, Same, Same, Same, Son of Kiyoha, Son of Kiyotō》
Kiyoyū, Kiyotomo, Kiyokuni, Kiyoyō, Kiyoka, Kiyoha, Kiyoun, Kiyotake

《Note: Same, Son of Kiyotaka, Son of Kiyosada, Same, Son of Kiyoyō, Son of Kiyoka, Son of Kiyohide, Son of Bōsei》
Kiyotaka, Kiyosada, Kiyotaka, Kiyoyasu, Kiyotō, Kiyohide, Kiyotō, Kiyoyō

《Note: [blank], Same, Same, Son of Kiyokuni, Son of Kiyoyasu, Son of Kiyohaku, Son of Kiyoi, Son of Morisei》
[blank], Kiyotō, Kiyoji, Kiyoda, Kiyoo, Kiyoi, Kiyomasa, Kiyofuku

《Note: [blank], Same, Son of Kiyotō, Son of Kiyotaka, Same, Son of Kiyoo, Same, Son of Narisei》
[blank], Kiyotane, Kiyomitsu, Kiyochika, Kiyohaku, Kiyotoyo, Kiyotora, Tokusei

《Note: [blank], [blank], Son of Kiyotane, Son of Kiyoji, Son of Kiyoda, Son of Kiyoya, Same, Son of Kiyotoshi》
[blank], [blank], Kiyotame, Kiyokata, Kiyoo, Kiyoka, Kiyohisa, Kensei

《Note: [blank], [blank], [blank], Same, Same, Same, Same, Same》
[blank], [blank], [blank], Kiyocho, Kiyoya, Kiyoshige, Kiyogō, ▲Yōsei

《Note: [blank], [blank], [blank], Son of Kiyomitsu, Son of Kiyochika, Same, Same, Son of Kiyoji》
[blank], [blank], [blank], Kiyomi, Kiyoyū, Kiyobō, Bōsei, Kiyoman

《Note: [blank], [blank], [blank], Son of Kiyotame, Son of Kiyokata, Son of Kiyoyū, Son of Kiyotoyo, Same》
[blank], [blank], [blank], Kiyoki, Kiyomasa, Kiyota, Morisei, Fūsei

《Note: [blank], [blank], [blank], [blank], Same, Son of Kiyomasa, Same, Son of Kiyotatsu》
[blank], [blank], [blank], [blank], Kiyoin, Gensei, Narisei, Kiyoyō

《Note: [blank], [blank], [blank], [blank], Same, Same, Same, Same》
[blank], [blank], [blank], [blank], Kiyorin, Kisei, Jūsei, Kiyoiku

《Note: [blank], [blank], [blank], [blank], Son of Kiyocho, presumably son of Kiyoin, Same, Son of Eisei》
[blank], [blank], [blank], [blank], Kiyoyaku, Kiyoyo, Gisei, ▲Kiyoritsu

《Note: [blank], [blank], [blank], [blank], Son of Kiyomi, Same, Son of Kiyoshige, Son of Hōsei》
[blank], [blank], [blank], [blank], Ekisei, Kiyosumi, Kiyotoshi, Hosei

《Note: [blank], [blank], [blank], [blank], Same, Son of Kiyorin, Second son, Same》
[blank], [blank], [blank], [blank], Kiyojutsu, Kiyomitsu, Kiyofu, Kiyogaku

《Note: [blank], [blank], [blank], [blank], Son of Kiyoki, Son of Kiyoaki, Son of Kiyodai, Son of Densei》
[blank], [blank], [blank], [blank], ▲Kiyoryō, Daisei, Kiyotatsu, Hōsei

《Note: [blank], [blank], [blank], [blank], [blank], Son of Ekisei, Son of Gensei, Son of Kokusei》
[blank], [blank], [blank], [blank], [blank], Gyōsei, ▲Yōsei, Kiyohaku

《Note: [blank], [blank], [blank], [blank], [blank], Second son, Second son, Son of Kiyonaka》
[blank], [blank], [blank], [blank], [blank], Kiyokane, Eisei, Kiyoki

[Names have red underlines to the right]
[▲ marks are in red ink]
[The illegible character ■ is a combination of the characters "yaku" + "ichi" + "ri"]
