【Front matter】
Written by Teacher Fukuda Riken【Embossed publisher's seal】Volume 2
《Title: Meiji Elementary Jinkōki》
Tokyo Bookseller　Published by Manseido

【Left page】
Volume Two
【Upper section】
Calculations of measured goods (masumono) 20 problems / same solutions
Calculations of measured objects (shakumono) 15 problems, same solutions
Internal-external increase-decrease calculations 5 problems, same solutions
Surplus-deficit (eijuku) calculations 4 problems, same solutions
Reduction of fractions 2 problems, same solutions
Addition-subtraction of fractions 2 problems, same solutions
Division of fractions 2 problems, same solutions
Review problems 56 problems, same answer formulas
【Lower section】
Multiplication calculations 20 problems, same solutions
Time calculations 16 problems, same solutions
Lending-borrowing interest calculations 15 problems, same solutions
Difference calculations 15 problems, same solutions
Proportion problems 1 problem, same solution
Multiplication of fractions 2 problems, same solutions
Sugihae calculations 5 problems, same diagram solutions
