Melon pedicle　　　　Watermelon　　　　Sugar cane
　　Wood section
Cedar　　　　　　Cinnamon　　　　Lindera strychnifolia
Maple tree　　　　Benzoin　　　　Aquilaria
Commiphora　　　　Aloe　　　　　Phellodendron
Chinaberry　　　　Ash bark　　　　Honey locust
Chinese honey locust　　Palm　　　　Abrus precatorius
Trifoliate orange　　　Poncirus　　　　Jujube
Terminalia　　　　Cornus officinalis　　Ligustrum
Privet　　　　　　Chinese wolfberry　　Vitex

Redbud　　　　　　Callicarpa　　　　Hibiscus
Winter sweet　　　　Damnacanthus　　　Cotton tree
Pittosporum　　　　Palm leaf　　　　Amber
Agate　　　　　　Omphalia　　　　Henon bamboo
Bitter bamboo　　　Pale bamboo　　　Fishtail bamboo
Square bamboo　　　Bamboo fungus　　　Kiyoruko
Sassafras　　　　Eburiko　　　　Rusarashi

　　　Insect section
Insect white wax　　Purple ore　　　Caddisfly larva
Blister beetle　　　Mylabris　　　　Scorpion
