Table of Contents for the Newly Compiled Gazetteer of Musashi Province, Volume 25
Katsushika District, Part 6
　Nishi-Kasai Territory
　　Oshiage Village　　　　　　　　　Oshima Village
　　Sarue Village　　　　　　　　　　Sarue Imperial Timber Warehouse Fire Prevention Labor Camp Attached Lands
　　Mori Shinden　　　　　　　　　　Fukagawa Town Rural District
　　Japanese Wax Tree Plantation Site, with Lime Storage Ground　　Minami-Honjo-de Village
　　Kita-Honjo-de Village　　　　　　Nakanogo-de Village
　　Hirakata Village　　　　　　　　　Onagi Village
　　Matabei Shinden　　　　　　　　　Ogi Shinden
　　Tarobei Shinden　　　　　　　　　Nakata Shinden
　　Hachirozaemon Shinden　　　　　　Sunamura Shinden
　　Hirai Shinden　　　　　　　　　　Otsuka Shinden
　　Kametaka Village　　　　　　　　　Jibei Shinden
　　Kyuzaemon Shinden　　　　　　　　Hachiemon Shinden

[Note: Read vertically, not horizontally. Oshima Village comes after Oshiage Village.]
