Nōshū Atsumi District Oguma
Kaei 1st year　　　　　Jion Shōja
Year of Tsuchinoe-Saru, Third Month　　Former Daikyō Kurimine respectfully records

However, the monthly sacred days of the Silkworm Deity are every Day of the Horse
Sacred Festival: First Day of the Horse in the Second Month
Memorial Service Days: Autumn and Spring Equinox middle days in February and August
Additionally: Sutra recitation, distribution of protective amulets, and
Execution of life-release ceremonies

We wish to restore the above shrine at this time. We earnestly request the faithful support and patronage of all those whose family businesses involve thread and silk fabric trades. The above.

Initiative Organizers:
Horie Kichisaburō
Same capacity
Bingo-ya Tokubei
Same capacity  
Izumi-ya Shinbei
Same capacity
Atsugami-ya Denjirō
Same capacity
Tsuruga-ya Hyōzaemon
Same capacity
Tanaka-ya Shinsuke
