(Continued from previous page) Although bathing methods must inevitably differ according to the patient's condition, swimming-style bathing is generally considered the best approach. This is because swimming naturally promotes physical movement in the patient. The bath water should circulate continuously so that fresh water is constantly supplied and the entire volume of water can be sufficiently replaced. Furthermore, the air inside the bathing room must be adequately ventilated. Under such conditions, there need be absolutely no fear of contracting infectious diseases through the bath water.

End of "A Study of Japanese Hot Springs"

【Errata】
　Page　　　Line　　　Error　　　　　　　Correction
　9　　　　　10　　　　謄　　　　　　　　膽 (gall/bile)
　23　　　　　6　　　　癰疔 (uchiō)　　　癰疔 (yōchō)
　36　　　　　7　　　　牲 (sacrifice)　　性 (nature/character)
　40　　　　　5　　　　若宮村ノアリ　　　若宮村ニアリ
　　　　　　　　　　　(in Wakamiya village [wrong particle])　(in Wakamiya village [correct particle])
　41　　　　　3　　　　(　)　　　　　　　(一)
　53　　　　same　　　下物　供スル　　　下物ニ供スル
　56　　　　　4　　　　銕錆　赤　　　　　銕錆ノ赤
　58　　　　　1　　　　(フ)　　　　　　　(ラ)
　same　　　　8　　　　カモイユタン　　　カモイコタン
　61　　　　　4　　　　海中アリ　　　　　海中ニアリ
