### 地盤の陥没

地震は、地滑りによるものであれ火山性地震であれ、しばしば地盤の隆起や陥没を引き起こすものであり、その事例は国内外に数多く見られる。今回、県庁の命令により現地を巡視した岐阜県土木課員の話によれば、根尾谷において長さ約三百間（約545メートル）、幅約六十間（約109メートル）の土地が陥没して長い溝状の地形を形成したとのことである。また、木曽川の一部にも陥没の兆候を示す箇所があると聞く。これは、震災後に川の流れが著しく緩やかになったことを見て、地元住民が指摘しているところである。このほか、桑名から熱田に至る国道においても、道路が五、六尺（約1.5〜1.8メートル）陥没した箇所があり、左右の池の水が流れ込んだため、今では小さな舟で旅人や荷物を通すようになっている。その陥没区間は五、六間（約9〜11メートル）ほどに過ぎないであろう。村人の話によれば、安政の大地震の際にも同じ場所が陥没したとのことである。なお、今回の陥没のうち小規模なものは枚挙にいとまがないほどである。そして、その規模の大小を問わず、いずれも地盤が切断されることによって生じるものであり、これは方向の異なる断層線が交差した脆弱点から形成された結果であると考えられる。

---

### 地震発生時刻　（●印のものは測候所、その他は郵便・電信局の電報による）

| 地点 | 時刻 |
|------|------|
| 福井県 | 6時40分 |
| 豊岡 | 6時28分 |
| 京都 | 6時35分 |
| 京都府 | 6時38分 |
| 津 | 6時40分 |
| 沼津（測候所） | 6時40分 |
| 長野県 | 6時30分 |
| 藤枝 | 6時38分 |
| 浜松（測候所） | 6時37分 |
| 富山県 | 6時30分 |
| 長野 | 6時50分 |
| 名古屋（測候所） | 6時38分50秒 |
| 岐阜県 | 6時37分 |
| 福井 | 6時37分 |
| 金沢（測候所） | 6時35分 |
| 三重県 | 6時36分 |
| 小浜 | 6時35分 |
| 和歌山（測候所） | 6時42分 |
| 山梨県 | 6時30分 |
| 金沢 | 6時45分 |
| 大阪（測候所） | 6時38分15秒 |
| 奈良県 | 6時25分 |
| 敦賀 | 6時30分 |
| 境（測候所） | 6時30分 |
| 舞鶴 | 6時35分 |
| 小松 | 6時34分 |
| 福井（測候所） | 6時40分 |
| 宮津 | 6時43分 |
| 大聖寺 | 6時35分 |
| 岐阜（測候所） | 6時40分 |
| 大阪 | 6時38分 |
| 沼津 | 6時30分 |
| 東京気象台 | 6時39分11秒 |
| 兵庫 | 6時40分 |
| 松本 | 6時30分 |

以上、官報より抜粋
