a little/slightly　　　　　　　　MŌMOKU
extent/degree　　　　　　　　　BATSUKUNO
approximately/about　　　　　　BATEKI
that is why/therefore　　　　　TAPUNEANKU SHIYU
whichever/either　　　　　　　IKIYAAN・NEKONNEYATSUKA
to that extent/that much　　　　NĒANKORO KA
until then/up to that point　　　WOROHATSUKUNO
manner/way　　　　　　　　　　KORACHI
in this manner/like this　　　　TAN KORACHI
this　　　　　　　　　　　　　TAN・TAPU
now　　　　　　　　　　　　　TANE
suddenly/abruptly　　　　　　　NISHIYATSUPU
for the purpose of/for　　　　　U
sometime/at some point　　　　HENBARATA
besides/in addition　　　　　　MOSHIMA
