that matter/that point　　　　　　　NEWAAMBE
gradually/step by step　　　　　　WOHOKINO
indeed/is that so/I see　　　　　　KEANNAKU
indeed/I see/quite so　　　　　　　NOKON・ŌUN
cannot help but be troubled　　　　HOKANBA
has done/has been done　　　　　　RUWE
it is different/it is a different matter　TABAN
ought to/supposed to　　　　　　　GUSHI
in this way/thus/such　　　　　　　ENEKARU
always/at all times　　　　　　　　RANMA・YAUSHITOKORO
well then/now then　　　　　　　　NAKINE
to be of use/to serve a purpose　　YUWANKE・SHISHIYAKU
who　　　　　　　　　　　　　　　NENI
to receive/to be subject to　　　　KASHIKAMUI NU
in a place/situation like this　　　 EASHIRI TAPU
