a little/scarcely/just barely　　　　PONBEPO
every time/frequently　　　　　　　HENBARATĀRI・NEITAKAI
together/in common　　　　　　　　ITSUSHINNE NO・UKOIRAMU NO
on purpose/intentionally　　　　　OMOROSHI
therefore/and so/thus　　　　　　　AINESHIRIKI
to say in this way/to say thus　　　TABAWASHI・ENEHAWASHI
well/skillfully/thoroughly　　　　　UKAMUKIRI・ERORAMU N NO
recently/the other day/this while　　OFUNAKU・NAFUNTĒ
to compare/to give an analogy　　　TAFUNESHIRIKI・AEMANO
even if/supposing that　　　　　　　TEORONĀGAN　※[Western region dialect]
by oneself/of one's own accord　　　YAI・YAYOKOTE
tentatively/provisionally　　　　　YAI
not yet/still　　　　　　　　　　　CHICHIHO・NANI・NANUNICO
just a little/briefly/for a moment　　YAIRUKA I
it seems there is/apparently exists　ANAKAIWA
