Page 68-69

Right Page:
[Table with columns: Date | Shrine Class | Shrine Name | Deity | Location | Festival Elements | Entertainment | Historical Notes]

April 15th | Village Shrine | Matsuyama Shrine | Susanoo-no-mikoto | Hanada-machi (Matsuyama) | Festival floats with decorative tablets | Theater, mochi throwing | Same as above. Rebuilt in June 1657.

April 16th | Same | Susanoo Shrine | Susanoo-no-mikoto | Hanada-machi (Nakago) | Sacred palanquin | Theater, motion pictures, manzai theater, fireworks, mochi throwing, bread | Same as above. Has ridge plaque from January 1663.

Old April 15th | Same | Susanoo Shrine | Susanoo-no-mikoto | Omura-machi (Takashiro) | Hanging lanterns, festival float decorations | Theater, naniwa-bushi | Established March 23, 1662. In 1872, formerly called Gozu Tenno but renamed to Susanoo Shrine.

May 15th | Non-ranked Shrine | Onamuchi Shrine | Onamuchi-no-mikoto | Shinkawa-machi (Ichiminami) | | Theater | Establishment unknown, relocated to Dote-machi during Eisho period.

June 30th | Same | Susanoo Shrine | Susanoo-no-mikoto | Honmachi | Ring passing ritual | | Establishment unknown.

Old June 15th | Same | Susanoo Shrine | Susanoo-no-mikoto | Omura-machi (Chinokami) | | Naniwa-bushi, manzai | Established April 21, 1650. In 1872, formerly called Gozu Tenno but renamed to Susanoo Shrine.

July 8th | Same | Ankai Kumano Shrine | Izanagi-no-mikoto and 8 other deities | Uo-machi | Noh, kyogen | | Established March 1136.

July 15th | Prefectural Shrine | Yoshida Shrine | Susanoo-no-mikoto | Sekiya-machi | Divine procession | Fireworks | Said to be established 1124. In 1205, when Makino Kohaku built Imahashi Castle, it became the castle's guardian shrine.

July 15th | Non-ranked Shrine | Susanoo Shrine | Susanoo-no-mikoto | Akumi-machi | Hanging lanterns | Theater | Said to be established on an auspicious day in January 1689.

July 18th | Village Shrine | Hakusan Hime Shrine | Izanami-no-mikoto and 1 other deity | Shinsen-machi | Divine palanquin procession, kagura | | Established June 1136.

Old August 9th | Non-ranked Shrine | Susanoo Shrine | Susanoo-no-mikoto | Oyama-machi (Matsukure) | | Sake | Establishment unknown.

Old August 15th | Village Shrine | Susanoo Shrine | Susanoo-no-mikoto | Nagase-machi (Higashiura) | Divine palanquin procession | | Established September 1609, called Gozu Tenno of Tsushima Village in Owari Province. Renamed to Susanoo Shrine in 1873.

Left Page:
Old August 15th | Non-ranked Shrine | Kora Shrine | Inakura-tama-no-mikoto and 1 other deity | Muro-machi (Higashiwaki) | | Mochi throwing | Establishment unknown. Called the Junior 5th Rank Kusumoto Tenjin in the National Shrine Register. Has ridge plaque from 1601.

September 8th | Same | Akiha Shrine | Kagutsuchi-no-mikoto | Funa-machi | | | Established July 8, 1773.

September 16th | Village Shrine | Shinmei Shrine | Amaterasu Omikami | Kamina-machi | Festival float | Theater | Established September 1583.

September 16th | Non-ranked Shrine | Toyoma Shrine | Homusubi-no-kami | Shimochi-machi | Hanging lanterns, festival float decorations | Theater, mochi throwing | Establishment unknown.

September 16th | Same | Tenpaku Shrine | Uka-no-mitama-no-mikoto | Kamina-machi | | | Establishment unknown, relocated to current site during Tenbun period.

September 25th | County Shrine | Hachiman Shrine | Homuda Tenno (Emperor Ojin) | Hanada-machi (Saito) | Festival float, hanging lanterns | Fireworks, hand dancing, mochi throwing | Said to be enshrined in 672.

September 27th | Village Shrine | Suwa Shrine | Takeminakata-no-mikoto | Yamada-machi | Hanging lanterns | Theater, mochi throwing | Establishment unknown, has ridge plaque from 1289.

September 27th | Same | Suwa Shrine | Takeminakata-no-mikoto | Nakashiba-machi | Festival float decorations | Theater | Established 1293.

September 28th | Same | Oyamatsumi Shrine | Oyamatsumi-no-mikoto | Iwaya-machi | Hanging lanterns | Mochi throwing | Establishment unknown.

Old September 15th | Same | Hachiman Shrine | Emperor Ojin | Iwata-machi (Saigonaka) | Hanging lanterns, decorative stands | Theater, naniwa-bushi, sweet sake, mochi throwing | Said to be established August 1647.

Old September 16th | Same | Shinmei Shrine | Amaterasu Omikami | Yoshikawa-machi (Yoshikawa) | Hanging lanterns | Theater | Established 1629.

Old September 16th | Same | Shinmei Shrine | Toyouke Hime-no-mikoto | Shinei-machi (Omizo) | Same | Same | Established September 1467.

October 10th | Same | Susanoo Shrine | Susanoo-no-mikoto | Nanei-machi | | Theater, sweet sake, mochi throwing, clear sake, confections, formal meals | Established June 1698.

October 10th | Same | Hachiman Shrine | Emperor Chuai and 8 other deities | Higashihachi-machi | Festival float | Theater, archery | Said to be established August 671.

Page 69
