Page 70-71

Right Page:
[Table with columns: Date | Shrine Class | Shrine Name | Deity | Location | Festival Elements | Entertainment | Historical Notes]

October 11th | Same | Susanoo Shrine | Susanoo-no-mikoto | Yokosuka-machi (Miyamoto) | Kagura, hanging lanterns | Theater, archery, mochi throwing | Establishment unknown. Destroyed by great flood in 1540, rebuilt in 1544.

October 12th | Same | Koike Shrine | Susanoo-no-mikoto and 3 other deities | Koike-machi | Kagura, festival float | Theater, motion pictures, archery, mochi throwing | Establishment unknown. Has ridge plaque from 1623.

October 15th | Same | Shinmei Shrine | Oohirume-no-mikoto | Takashi Hongocho | Hanging lanterns | Horse racing, archery (old style), naniwa-bushi, sweet sake, mochi throwing, clear sake, confections, formal meals | Said to be established 672.

October 15th | Same | Shinmei Shrine | Amaterasu Omikami | Kawara-machi (Tori) | | Theater, archery, mochi throwing, sweet sake | Establishment unknown.

October 15th | Same | Hachiman Shrine | Izawa Kodaijin | Ushikawa-machi (Tadaoki) | | Sweet sake, mochi | Same as above.

October 15th | Same | Hachiman Shrine | Hachiman Daijin and 2 other deities | Osaki-machi | Hanging lanterns | Theater, mochi throwing, sake | Said to be established November 15, 1541 by Toda Saburo Hyoe-no-jo Nobunari.

October 15th | Same | Susanoo Shrine | Susanoo-no-mikoto | Nodori-machi (Nishiyashiki) | | Mochi throwing | Establishment unknown.

October 15th | Same | Kamitomi Shinmei Shrine | Amaterasu Omikami | Kamino Shinden-machi | Hanging lanterns | Sumo wrestling, lottery drawing, mochi throwing | Established 1895.

October 15th | Non-ranked Shrine | Hakusan Shrine | Prince Kaishō and 4 other deities | Sannowa-machi (Hakusan) | | Theater, mochi throwing | Said to be established 817.

October 15th | Same | Tenpaku Shrine | Ugatama-no-kami | Hatagata-machi | Hanging lanterns | Mochi throwing, sweet sake, confections, clear sake, formal meals | Established September 1312.

October 15th | Same | Wakamiya Shrine | Emperor Nintoku | Muro-machi (Sakatsu) | | Mochi throwing | Establishment unknown. Has ridge plaque from 1701.

October 15th | Same | Hasshosya Shrine | Ame-no-oshihomimi-no-mikoto and 7 other deities | Muro-machi (Gaikō) | | Theater, naniwa-bushi | Same as above. Has ridge plaque from 1670.

October 16th | County Shrine | Shinmei Shrine | Amaterasu Omikami | Higashida-machi (Kyōgō) | Kagura, decorative stands | Theater, fireworks, mochi throwing | Said to be established in connection with the Kyōmizono area.

October 16th | Village Shrine | Shinmei Shrine | Amaterasu Omikami | Iwata-machi (Hirakawa) | Hanging lanterns, decorative stands | Mochi throwing, sweet sake | Establishment unknown.

Left Page:
October 16th | Same | Shinmei Shrine | Amaterasu Omikami | Kawasaki-machi (Fuda-no-tsuji) | Hanging lanterns, festival float decorations | Naniwa-bushi | Established September 16, 1467.

October 16th | Same | Shinmei Shrine | Toyouke Hime-no-mikoto and 2 other deities | Kawasaki-machi (Naka-no-mori) | Same as above | Naniwa-bushi, sweet sake | Establishment unknown.

October 16th | Same | Shinmei Shrine | Amaterasu Omikami | Kiyosu-machi (Miyatsubo) | Sacred hot water ritual (old style), hanging lanterns, festival float decorations | Theater, naniwa-bushi, archery, mochi throwing | One shrine within the precinct said to be established during Kanbun period, others unknown.

October 16th | Same | Shinmei Shrine | Amaterasu Omikami and 2 other deities | Mamizuka-machi (Yabushingiri) | Hanging lanterns | Theater | Said to be established February 726.

October 16th | Same | Shinmei Shrine | Amaterasu Omikami | Ushikawa-machi (Kotakano) | | Sweet sake, mochi | Established 1690 (Year of the Horse).

October 16th | Same | Shinmei Shrine | Amaterasu Omikami | Ushikawa-machi (Nogawa) | | | Established February 1703 (Year of the Sheep).

October 16th | Same | Gyakuga Shrine | Kunitokotachi-no-mikoto | Hamado-machi | Horse racing (old style), hanging lanterns | Theater, sweet sake, mochi throwing, confections, sake, formal meals | Established September 1188.

October 16th | Same | Gyakuhoko Shrine | Kunitokotachi-no-mikoto | Ashihara-machi | Hanging lanterns | Sweet sake, mochi throwing, confections, sake, formal meals | Established September 1657.

October 17th | County Shrine | Shinmei Shrine | Amaterasu Omikami | Minato-machi | Kagura, festival float | Archery | Said to be enshrined 672.

October 17th | Village Shrine | Shinmei Shrine | Amaterasu Omikami | Komatsu-machi | Hanging lanterns | Naniwa-bushi, mochi throwing, sweet sake, clear sake | Establishment unknown.

October 17th | Same | Shinmei Shrine | Amaterasu Omikami and 3 other deities | Kohama-machi | Same as above | Naniwa-bushi, mochi throwing, sacred sake | Same as above.

October 17th | Same | Shinmei Shrine | Amaterasu Omikami | Komoguchi-machi (Komoguchi) | Same as above | Theater | Established April 1532.

October 17th | Same | Kumano Shrine | Kotosaka-no-o-no-kami and 2 other deities | Ushikawa-machi (Nami-no-ue) | Kagura, hanging lanterns | Naniwa-bushi, manzai theater, sweet sake, mochi | Establishment unknown.

October 17th | Same | Kumano Shrine | Kotosaka-no-o-no-kami and 4 other deities | Ushikawa-machi (Nakagō) | Same as above | Theater, mochi | Same as above.

October 18th | Same | Hachiman Shrine | Homudawake-no-mikoto and 11 other deities | Nodori-machi (Hachiman) | Archery, horse racing, lion dance, Daihannya sutra recitation, hanging lanterns | Theater, mochi throwing, unrefined sake | Established January 704, invited from Usa Hachiman Shrine.

Page 71
