A written pledge we respectfully submit

Item: When Your Lordship conducted a detailed inspection of our village's lord's forest this time, there were newly cut stumps that had been cut recently, and we humbly believe that we have no excuse whatsoever for this matter that came under your inspection. Therefore, we may be subjected to handcuffs or monetary penalties in the future, so we fearfully acknowledge that the entire village must conduct a strict investigation and turn in [the culprit]. When that person is exposed, whatever punishment may be imposed, we will harbor not the slightest resentment. The above.

12th month, 5th day of the Year of the Monkey　　Higuchi Village
　　　　　　　　　　　　　　　　Forest Guardian: Heihachirō
　　　　　　　　　　　　　　　　Same position: Gen'emon
　　　　　　　　　　　　　　　　Same position: Sakuemon
　　　　　　　　　　　　　　　　Same position: Monemon
　　　　　　　　　　　　　　　　Same position: Chūjirō
　　　　　　　　　　　　　　　　Same position: Magobei
　　　　　　　　　　　　　　　　Same position: Zenkurō
　　　　　　　　　　　　　　　　Same position: Hanrokurō
　　　　　　　　　　　　　　　　Same position: Rokubei
　　　　　　　　　　　　　　　　Same position: Sajibei
　　　　　　　　　　　　　　　　Same position: Kan'emon
