Ōde Kin'uemon          Ōhira Gunbee
Ōsuga Heihachi         Ōhashi Jōsuke
Ogiwara Bunjirō        Oyamada Shinjūrō
Nemoto Hikobee         Negishi Nizaemon [Note attached: Hagiwara, Otagiri Hisa]
Nakayama Iuemon        Nakane Tadauemon
Nakano Yasu'uemon      Nakamura Kōzaemon
Nakamura Naouemon      Nakamura Jinzaemon
Nakamura Tomozaemon    Nakashima Butayū
Nasuno Sobee           Nagata Shinkurō
Naruse Jinzaemon       Muraoka Genzaemon

Makabe Kanroku         Nakayama Shinhachi
Koike Kyūzaemon        Satō Saiuemon
Satō Gondayū           Satō Kyūzaemon
Sakai Giuemon          Kitahara Gonnosuke
Mikami Jūgouemon       Miyazaki Jirōzaemon
Hada Sakubee           Sasahara Hachirōbee
Morita Gen'uemon       Suzuki Hachirōbee
