Straight-grained wood (masame)　　　　　Nishyoshi・Chichimini・Mashya
Door　　　　　　　　　　　　　　　　　　Abushita・Aba
Bow　　[whole] Gu　upper part Gunishi　middle Gushi　lower Shyaraha
Arrow　　　　　　　　　　　　　　　　　Ai
Target　　　　　　　　　　　　　　　　　Gan・Tsukankunifu
Arrow tip / arrowhead (note: refers to the arrowhead)　　Rumu
Arrow fletching　　　　　　　　　　　　　Ratsuppu・Airatsuppu
Shigeto (layered rattan binding on bow)　　Karinba
The part of the rattan wrapping where the arrow sits　　Chiron
Arrow tip (point)　　　　　　　　　　　　Makanitsute
Fitting attached to the arrow tip　　　　　Aishyubi
Paper wrapped around the arrow shaft　　　Aichinka
Bowstring　　　　　　　　　　　　　　　　Gūka
The loop end of the bowstring　　　　　　　Gukashinkoppu
The knotted/tied end of the bowstring　　　Eubite
