Small knife (kogata-na)　　　　　　Makiri・Ihira
Hokkai / Food container (hokai)　　Kemakoru-shintoko・Hotskai
Ritual paper/wood offerings (nusa)　Inau
Plane (kanna)　　　　　　　　　　Shyoro・Hokekane
Adze (chōna)　　　　　　　　　　Teuna
Awl/Drill (kiri)　　　　　　　　　Kishyakani
Fishing spear/leister (yasu)　　　　Wopu・Kumamu・Hanare・Marepu
The base/nock of the yasu (note: meaning the root/base)　　Kite・Kiramu
Rope attached to the yasu　　　　　Tsushi・Muninbe・Rebatsushi
Broom (hōki)　　　　　　　　　　Munamufu・Tetsukupu
Rush matting (toma)　　　　　　　Kina・Yattsui
Ladle/Rice paddle (shakushi)　　　Kashyupu・Ukepu
Hoe (kuwa)　　　　　　　　　　　Shyakushi
Chopsticks for lifting the mustache　　Ikubashi
Skewer (kushi)　　　　　　　　　Nipu・Imanitsu
