cross the year　　　リヤ (riya)
go　　　　　　　　　ヲマン▲バイ (oman▲bai)
come　　　　　　　　アリキ (ariki)
coming and going　　バイカイ (baikai)
go!　　　　　　　　バイヤン (baiyan)
come!　　　　　　　イー（ー）ツ (i-(-)tsu)
gather　　　　　　　ウヱカリ (uekari)
the whole　　　　　　ウヱシヤマンバ (ueshiyanmanba)
walk　　　　　　　　アブカシ▲ウクシ〳〵 (abukashi▲ukushi)
go ahead　　　　　　ホシケヲマン (hoshike oman)
go behind　　　　　　テシテマン (teshiteman)
retinue　　　　　　　ウユラリ (uyurari)
hospitality　　　　　マラノト (maranoto) [マラプト (maraputo) = hospitality (banquet)]
come together　　　　イスムクテ (isumukute)
apron　　　　　　　　イミウタシヤレイ (imiutashiyarei)
