measure　　　　　　　　パカリ (pakari)
carry　　　　　　　　　ルラ (rura)
make noise / cheer　　　グッ゚ンキ (gunki)
break / fold　　　　　　カイ (kai)
live / be alive　　　　　ホーユル (hōyuru)
strive / work hard　　　ユプナタラ▲アリキヽ (yupunatara▲arikikki)
limp (be lame)　　　　　タイベアン (taibean)
lack / be missing　　　　メシケ (meshike)
spare time / leisure　　　ヤヨヲカイ (yayo okai)
tattoo (body markings)　　シヌイ (shinui)
swim　　　　　　　　　マ (ma)
grind / rub　　　　　　シユル〳〵 (shiyurushiyuru)
run　　　　　　　　　　チヤーシ▲ホユプ (chiyāshi▲hoyupu)
peel (tree bark)　　　　ニカブアル (nikabu aru)
go to the side / go aside　シヨシヲマ (shiyoshi oma)
