Shrine (small)　　　　　　　　Motokichise
Dwelling house　　　　　　　　Shiromachise
Hunting hut　　　　　　　　　Oronchise
Palace-style building　　　　　Yakata
Stockade-enclosed building　　Chyaoronchise
Single-story building / shop　　Machiya
Pressing batten (wall trim)　　Kikararifu・Ishyamani
Middle crossbeam　　　　　　　Barukaomani
Skylight / window opening　　　Momu・Chyatsuri
Penetrating tie beam　　　　　Sasuma
Hearth　center seat (formal)　　Roro・Roroishyo
　　　　front side　　　　　　　Ushyaroro
　　　　left side　　　　　　　　Shiishyo
　　　　right side　　　　　　　Arukishyo
Plank / board　　　　　　　　　Ita
