Spoon/spatula for eating (hera)　　　　　　　　　　Pera
Pot bail/pot handle (nabetsuru)　　　　　　　　　　Shuatsu
Bath/bathing vessel (furo)　　　　　　　　　　　　Shifuraishintoko
Pot/cauldron (kama)　　　　　　　　　　　　　　　Chiochichikere tsuppu・Kama
Leather gloves (kawa no tebukuro)　　　　　　　　　Tekunbe
Barrel/cask (taru)　　　　　　　　　　　　　　　　Yoki
Sword belt/sword frog (katana no obi tori)　　　　Mashitsura
Basket/strainer (zaru)　　　　　　　　　　　　　　Ichiyari
Sickle (kama)　　　　　　　　　　　　　　　　　　Yotsube
Tobacco pipe (kiseru)　　　　　　　　　　　　　　Serenpo・Kiseri
Pole/rod (sao)　　　　　　　　　　　　　　　　　　Tsuri [with handakuten]
Flute/wind instrument (fue)　　　　　　　　　　　Karettsute・Tottupukaresoote
Pipe stem/rau-bamboo (rau-take, pipe shaft)　　　Kiseri-tsumamu [with handakuten]
Chain (kusari)　　　　　　　　　　　　　　　　　　Tsumushi [with handakuten]
Lipped pouring bowl for oil (abura wo ireru katakuchi)　　Matsuki [with handakuten]
