Sugiwara Hōki-no-kami　　　　　Mizoguchi
Oda Echigo-no-kami　　　　　　 Hōki-no-kami
Hitotsuyanagi Kenbutsu　　　　　Oda
Matsushita　　　　　　　　　　　Mimasaka-no-kami
Iwami-no-kami　　　　　　　　　 Kuki Nagato-no-kami
Matsuura Hizen-no-kami　　　　　Ōtawara Bizen-no-kami
Ikeda Bitchū-no-kami　　　　　　Itō Shuri-dayū
Nakagawa　　　　　　　　　　　 Koide Yamato-no-kami
Naizen-no-shō　　　　　　　　　Ishikawa
Tokunaga Samanosuke　　　　　　Tonomo-no-shō
　　　　　　　　　　　　　　　　Inaba Sanuki-no-kami
Kinoshita　　　　　　　　　　　Katō Dewa-no-kami
Ukon-dayū　　　　　　　　　　　Sakuma Daizen-no-shō
Mori Ise-no-kami　　　　　　　　Aoki Kai-no-kami
Tani Dewa-no-kami　　　　　　　 Katagiri Iwami-no-kami
Endō　　　　　　　　　　　　　 Hirano Tōtōmi-no-kami
Ise-no-kami　　　　　　　　　　Honda Suō-no-kami
Katagiri Shuzen-no-shō　　　　　Yamasaki Kai-no-kami
Koide　　　　　　　　　　　　　Sagara
Tsushima-no-kami　　　　　　　　Sahyōe
Kinoshita　　　　　　　　　　　Katagiri Izumo-no-kami
Kunai-shōyū　　　　　　　　　
Shimazu　　　　　　　　　　　　Takahashi Izu-no-kami
Umanosuke　　　　　　　　　　　Hasegawa
Wakebe　　　　　　　　　　　　 Shikibu-shōyū
Sakyō-no-shin　　　　　　　　　Takenaka
Itō　　　　　　　　　　　　　　Tango-no-kami
Wakasa-no-kami　　　　　　　　　Hitotsuyanagi
Maita Gonsuke　　　　　　　　　 Mimasaka-no-kami
