Lord Aizu Saisho
　　　Black court robes
　　　Number of retinue same as above

From here all in black court robes
Lord Mimasaka Chūjō　　　　Lord Akita Shōshō
Lord Nagato Shōshō　　　　Lord Buzen Shōshō
Lord Wakasa Shōshō　　　　Lord Sendai Shōshō
Lord Yonezawa Shōshō　　　Lord Inaba Shōshō
Mōri Kai-no-kami　　　　Niwa Gorōzaemon
Lord Sawayama Shōshō　　　Mori Ukyōdayū
Lord Yanagawa Jijū　　　　Lord Inaba Jijū
Lord Ōno Jijū　　　　　　Lord Yamazaki Jijū
Lord Nakatsukasa Jijū　　　Lord Awa Jijū
Lord Tango Jijū　　　　　Lord Date Jijū
Lord Oda Jijū　　　　　　Lord Akita Jijū
Lord Andō Jijū　　　　　　Lord Tsushima Jijū
Lord Tosa Jijū　　　　　　Lord Chikuzen Jijū
Lord Hizen Jijū　　　　　Lord Matsuyama Jijū
Lord Higo Jijū　　　　　　Lord Himeji Jijū
