Gotō Awaji-no-kami　　　　　　　Kuwayama Saemon-no-suke
Hitotsuyanagi Tango-no-kami　　　Matsukura Nagato-no-kami
Honda　　　　　　　　　　　　　Ikeda Izumo-no-kami
Hida-no-kami　　　　　　　　　　Togawa
Tachibana Shuden-no-kami　　　　　Tosa-no-kami
Mizoguchi Izumo-no-kami　　　　　Sakuma
Endō　　　　　　　　　　　　　　Shinano-no-kami
Tajima-no-kami　　　　　　　　　Koide Ōsumi-no-kami
Hijikata　　　　　　　　　　　　Furuta
Tango-no-kami　　　　　　　　　　Hyōbu-shōyū
Mizoguchi　　　　　　　　　　　　Sagara
Izu-no-kami　　　　　　　　　　　Iki-no-kami
Kuwayama Kaga-no-kami　　　　　　Seki Hyōbu-shōyū
Hotta　　　　　　　　　　　　　　Hosokawa
Hyōbu-shōyū　　　　　　　　　　　Genba-no-kami
Inoue　　　　　　　　　　　　　　Takenaka Chikugo-no-kami
Awaji-no-kami　　　　　　　　　　Koide Tōtōmi-no-kami
Akizuki Nagato-no-kami　　　　　　Hineno
Ishikawa Izu-no-kami　　　　　　　Oribe-no-kami
Yokoyama Tosa-no-kami　　　　　　Naitō Buzen-no-kami
Takenaka　　　　　　　　　　　　Miura Kenbutsu
Uneme-no-shō　　　　　　　　　　Mizuno Kawachi-no-kami
Notsugu　　　　　　　　　　　　　Sakuma
Mimasaka-no-kami　　　　　　　　　Kawachi-no-kami
Hijikata　　　　　　　　　　　　Miyoshi
Kamon-no-kami　　　　　　　　　　Echigo-no-kami
Sengoku Yamato　　　　　　　　　　Kagatsume
Kawakatsu Shinano-no-kami　　　　　Minbu-shōyū
