In the 7th year of Kōnin era, he opened Mount Kōya, and on the 21st day of the 3rd month of the 1st year of Jōwa era, at the age of 63, he entered eternal meditation (nyūjō).

End of Hot Springs Famous Places Record

Publication notification: April 13, Meiji 13
Publication date: April 21, same year
　　　　　　　　　　　　　　　Shizuoka Prefecture commoner
　Editor: Hattori Ōga, temporary resident at 3 Shimoya Nishi-machi
　Publisher: Gotō Senzō, Suruga Province Numazu Kamitsuchi-machi
　Sales office: Gotō Kizaemon, Izu Province Shuzenji Hot Springs

Abbreviated Map of Izu Province

From this place to:
Mishima: 5.5 ri　　　　Mito: 3 ri
Numazu: 6 ri　　　　　Funahara: 3 ri
Izusan: 8 ri　　　　　Yoshina: 3 ri
Atami: 8 ri　　　　　　Yugashima: 3.5 ri
Usami: 5 ri　　　　　　Heda: 4.5 ri
Itō: 5 ri　　　　　　　Matsuzaki: 15 ri
Ōhito: 1 ri 8 chō　　　Nashimoto: 9.5 ri
Nanjō: 2 ri 20 chō　　Kawazu: 10.5 ri
Nirayama: 3 ri　　　　Shimoda: 14.5 ri
Hiekawa: 3 ri　　　　　Teishi: 18 ri
Kona: 2 ri 30 chō　　　Shizuoka: 22 ri
　　　　　　　　　　　　Tokyo: 34 ri
