【Right Page】

Naganae village 15, Kami-nishijo village 19, Iwatare village 10, Imai village 101
Kosaka village 15, Oike village 18, Takeda village 46, Kami-kanbayashi village 24
Mizushiro village《marginal note: 5｜currently 3 horses》, Shimo-kanbayashi village《marginal note: 5｜currently 2 horses》, Nakamura 8, Sakai 6
Minami-wada village 11, Shimo-wada village 9, Wadamachi village 13, Arai village 15
Kinugai village 11, Godo village 13, Futago village 21, Godo-shinden 11
Imamura 18, Komata village 41, Tono village 17, Kita-ono village 79
Tomomachi village 12, Aidani-shinden《marginal note: 5｜currently 2 horses》, Harayama village 5, Yaku village 14
Imai village 8, Furuta village 5, Koiwai village 6, Nanaarashi village 12
Aka□da village 10, Yokogawa village 12, Kanayamachi village《marginal note: 5｜currently 1 horse》, Tononoiri village 5

【Left Page】

Itaba village 9, Fujiike village 11, Ryose village 12, Nagakoshi village《marginal note: 5｜currently 3 horses》
Tsukudako village 7, I□ village 8, Ochimizu village《marginal note: 5｜currently no horses》, Kitayama-shinden《marginal note: 5｜currently 3 horses》
Nishimiya village《marginal note: 5｜currently 3 horses》, Miyamoto village《marginal note: 5｜currently none》, Anazawa village《marginal note: 5｜currently 4 horses》, Sosha village《marginal note: 5｜currently 2 horses》
Asama village 14, Mizukumi village《marginal note: 5｜currently 2 horses》, Inakura village 23, Hara village 5
Shimo-okada village 36, Ibuka village 30, Yokota village《marginal note: 5｜currently 4 horses》, Misaiyama village 37
Toridashi village 5, Matsuoka village 15, Hora village 14, Omura《marginal note: 5｜currently 4 horses》
Hayashi village 8, Aramachi village 7, Kita-komatsu village 6, Hashikura village 13
Kami-kanai village 10, Nakairi village 112, Shimo-kanai village 5, Fujii village 11
Minamikata village 10, Usumachi village 10, Yuhara village 11, Arai village 7
