## 信州 其二（信濃国 第二図）

### 【郡の概観】
- 安曇郡（西部）
- 更級郡（中部）
- 水内郡（北部）
- 高井郡（北東部）
- 埴科郡（東部）
- 小縣郡（東部）
- 佐久郡（東南部）

主要地：松本、上田、中之条、松代、飯山、須坂、中野、小諸、岩村田、御澋

---

### 【安曇郡】

**山岳・峠：**
- やくし嶽（薬師岳）・のくら嶽（野倉岳）・風吹岳
- 箙嶽（えびらだけ）・あはか峠
- 大綱
- 神明嶽・五六嶽・けんのう嶽・やりか嶽
- やくし嶽（薬師岳）・のくら嶽
- 蝶嶽・高嶽・大地嶽・神明嶽
- かきたけ（柿岳）
- 黒鼻山・とうた山・天狗原・物見たけ（物見岳）
- 有明山

**集落・地名：**
- さの・宮本・石坂・きうま・横川・かりま
- 千国・湯原・押込
- 塩しま・中谷・中又・小倉社
- かさ・大くほ
- 雜木山・やくし山
- 飯盛・波戸
- こやは・塩しま・かさ・大くほ
- 仁科・大町・青木海・中綱
- ■せ川・海口・黒鼻山
- 板取・宮本・千見・物見たけ
- 木丹・池田・丹場
- 花貫・十日市・たき沢
- ほ■・うるか
- 岐目
- 立田・島々山・安曇郡・大町・■せ川
- 牧村・有明山
- につき・田々井・小かや
- 梓川・板取・宮本・木丹・池田
- 水かた・花貫・十日市
- 中そね・こかまへ・たき沢
- 中つ・ほ■・うるか
- 矢はら・らしの
- 犬養・岐目

**筑摩郡境界部：**
- 田沢・生野・生坂・にくま
- あたさか・かりや原
- とふく・會田・みたれはし
- ほそきやは・麻續
- 青栁
- 立峠・あつき峠
- 法福寺
- 金山
- あさま

（続き）
- 下平せ・田沢・生野
- 松本・岡田・あたさか・かりや原
- 出川・とふく・會田
- 清水・ひな倉
- つかま・立峠
- 山部・法福寺
- 大村・金山
- 桐原・あさま

---

### 【更級郡】

**集落・地名：**
- まきのしま
- 田口・三水
- ひくま・塩さき
- いけ・ふせ
- いなり山・三の井
- しの根
- 追分・よこた・丹波嶋
- かあ・ひなか・川中嶋
- 杦しま・ひろた

（続き）
- はし本・宮平・まきのしま
- あひ坂・としり・長谷・田口・三水
- たくし・ひくま
- 中はら・いけ
- くわはら・いなり山・三の井
- さるか峠・しの根・追分
- たことの月（田毎の月）
- ▲（名所印）
- ▲姑すて山（姥捨山）

---

### 【水内郡】

**山岳：**
- 戸隠山・飯縄（飯縄山）
- 黒姫山
- 鷹打山・山姥山
- 花立山
- 大峯山・飯縄山

**集落・地名：**
- 栢原・明泉寺・あさみや
- 野尻・赤川・大さ子
- 水・熊坂
- しはつ・とつさ・古海
- 室飯・半川・水内郡・桂池
- 硫黄
- 平出・倉井・班山・大川・とくら
- 長井・沼池・山口
- 中条・■や池・中峯
- とくい川・五条
- 上倉・南条
- 大くら・しまつ・大つほ・無名川
- はちす・北条・とかり
- 飯山・水さは・白島・のいけ
- 小泉・平せ
- 横倉・青らく・もり

（続き）
- 戸隠山
- さかさ川・飯縄・栢原
- 古間・明泉寺
- いつな・中しま・野尻・水
- 中院・しはつ
- 新井・大古間・とつさ
- 大くほ・室飯
- 大峯山・飯縄山・えたま
- 善光寺（▲）
- むれい・平出・倉井
- 後田丁・黒川・神代
- 風間・東条
- 吉田・とくい川
- 尾した・布の・冨竹・赤沼・浅沼・大くら

（続き）
- 戸隠山
- 虫倉山・きなさ
- 新町・さかさ川
- 上条・いつな
- 長井・竹生
- すヽはな川
- 水内・妻科・関こし
- 朝日山・大くほ
- 芋井
- 千田・小市
- 善光寺（▲）
- 後田丁
- さの川

---

### 【高井郡】

**山岳：**
- 白劔山・劔峰・高倉山
- をんは山・五本山
- 岩松山・塩路山
- 湯宮山・赤石山
- いけ・大倉嶽・竜王山

**集落・地名：**
- 神戸・平村・東大たき
- みつくり・志久見・しくみつ
- 大養
- 小すけ
- 野沢
- 草間・せた
- 小ふせ・吉田
- 六川・安田
- 笠原・西つあ
- 中条・西条・中野・神戸
- 染井・やせしね・大養
- こやは・上条
- 寺井の・さの
- 田中
- 高井郡・岩松山・塩路山・白劔山
- 湯宮山・劔峰
- 五本山

（続き）
- わた内・村山・大しま・草間
- 川田・ふたしま・ふく川・小ふせ
- 六川
- 九室・■なし
- 垂■・井上
- 米持・須坂・中条
- 保科・西条・中野
- 仙仁・塩の・染井
- 仁礼・山口・黒あ
- 横尾・日たき
- 米子・はいの
- こやは
- 四河山・まやま・寺井の・さの
- 乳山・たろこ山
- 白根山・高井郡・岩松山
- 横手山

---

### 【埴科郡】

**集落・地名：**
- 小舟庄・岩の
- 子すみ・矢代・清の
- わいはな
- 坂木・とくら・妻女山
- 中之条・松代・寺尾
- 倉科・西条
- 平村
- 桂尾・もり・せきや
- 牧内・東条
- 埴科郡
- 地藏峠
- かるの沢

---

### 【小縣郡】

**集落・地名：**
- 室賀
- 村松・塩尻
- 小泉・すつへ・上田
- 堀村・国分寺
- 辰口
- 岩下・房山・いせ山
- 飯沼・大矢
- 海野●・矢沢・大日向
- 海野・なつめ・はら・真田
- 子つ
- 塩川・田中・子丸山
- 新張・白山
- はさは
- ほくや
- 芝生田・■子・おひなき
- かたは

（続き）
- 室賀
- 田沢・當・村松
- 奈良本・ふく田
- 寺なし・うらの・小泉・つくへ
- 堀村・辰口
- 山領・塩田・岩下
- 和田・武石・小縣郡
- 内村・飯沼・大矢
- 和田峠・海野・海野
- 下和田
- 九子・塩川・田中
- 久保・はさは
- ほくや・芝生田

---

### 【佐久郡】

**山岳：**
- 布引山（▲）
- 浅間嶽（▲）
- 大とう山・栢木山

**集落・地名：**
- もりせ（▲）
- 御牧・もろ
- をつま川
- もヽ沢・小諸・ひしの
- 四ツ谷・佐久郡
- 耳坂・牧の・小沼
- 塩なた・平原
- いかはし
- 岩村田・御澋・やせ■ち
- 塩の・浅間嶽（▲）
- 小田井・みつや
- 大井庄・追分
- 余地・志賀・長くら・持宿・鼻田
- 沓掛
- 駒込・ほつけ
- 軽井沢

（続き）
- 山あ・もりせ（▲）
- 石原坂・芦田・布引山
- 飯盛山・小平
- ふたこ・春日・望月（▲）
- 御牧・をつま川
- 大沢・ふせ・八幡・もヽ沢・小諸
- はしま・ぬから・石宊・耳坂
- 本間川・日向・下平・塩なた
- 上村・小田切・たけた・あかた・いかはし
- 高野・前田・岩村田
- 半庄・さくら井
- まなかし・臼田・いはら・小田井
- かつま・あとへ
- 野沢・大井庄
- 大とう山・三分・余地
- かひせ・平力・志賀・長くら
- 入沢
- いくら・和田・田口
- ちくま川原・よち・駒込・ほつけ
- ▲（南栢木）
- 大しま・内山
- 栢木山
- あつさ川・秋山

---

### 【境界・出入口の注記】

**北・西方面：**
- 飛騨 ／ 越中 境
- 越中 ／ 越後 境
- 大所出
- 子のな出
- 関川出
- 小田切出
- はり出

**北・東方面：**
- 高嶌出
- 赤沢出
- 越後 ／ 上野 境
- 入山出
- 大佐々出
- 木曾街道　碓井峠
- 坂本出
- 藤井出
- 上野 ／ 武藏 境
