Calligrapher　《Marginal note: sakaranu》　　　Ōtake Shōtō
　　Painter　《Marginal note: uchi ni chiri》　　　Ei Isshō
　　Kyōka poet　《Marginal note: mashita》　　　Rokudaen Futaba
　　Fiction writer　《Marginal note: oshimi wa》　　　Rakutei Seiba
　　Storyteller　《Marginal note: nai ga ite mo》　　　Suzuzuya Bafū　
　　Actor　《Marginal note: yoi》　　　Arashi Koroku
　　Musician　《Marginal note: koridashi》　　　Takemoto Kodamadayū
　　Artist　《Marginal note: kakatte kore wa》　　　Tatsukawa Kunisato
　　Musician　《Marginal note: shitari》　　　Tengurengyochin
　　Musician　《Marginal note: o-na》　　　Tokiwazu Sumadayū
　　Haikai poet　《Marginal note: mae ga》　　　Fukushisai Tokukabura
　　Stone carver　《Marginal note: katami》　　　Stone worker Kinen
　　Beautiful voice　《Marginal note: o-jochū》　　　Tokiwazu Mojimiyo
　　Exquisite voice　《Marginal note: dake ni oshi》　　　Tokiwazu Mojiei
　　Clear voice　《Marginal note: maruru》　　　Tokiwazu Kotona
　　Puppet master　《Marginal note: naku mono wa》　　　Yoshida Tōkurō
　　Actor　《Marginal note: o-mi uchi》　　　Matsumoto Toragorō
　　Storyteller　《Marginal note: hakari》　　　Kamigata Sairoku
　　Head of school　《Marginal note: tare ka》　　　Kiyomoto Enjudayū
　　Actor　《Marginal note: kanashimu mono mo》　　　Onoe Kitanosuke
