The following rewards were ordered to be bestowed:
　　　　　50 pieces of silver, 5 court robes, haori jacket　　　Chief Magistrate: Koma Ise
　　　　　50 pieces of silver, 4 court robes, haori jacket　　　Deputy Magistrate: Hayashi Hachizaemon
　　　　　20 pieces of silver, 3 court robes, haori jacket　　　Steward: Sasa Jihyōgo
　　　　　Same as above　　　　　　　　　　　　　　　　　Captain: Takada Kozaemon
　　　　　Same as above　　　　　　　　　　　　　　　　　Same rank: Tagaya Yukie

　　　　　Same as above　　　　　　　　　　　　　　　　　Head Administrator: Ōseki Shingozaemon
　　　　　Same as above　　　　　　　　　　　　　　　　　Same rank: Ogawa Yoemon
　　　　　10 pieces of silver, 2 court robes, haori jacket　　　Inspector: Ōno Sanzaemon
　　　　　Same as above　　　　　　　　　　　　　　　　　Same rank: Ōmiya Hikoemon
　　　　　Same as above　　　　　　　　　　　　　　　　　Construction Officer: Tsuda Gennosuke
　　　　　Same as above　　　　　　　　　　　　　　　　　Same rank: Yanada Tarōdayū
