Kan Ze, Yu Xi, Dan Yuanzi, Zu Chongzhi, Zhang Zixin
Xue Hejin, Geng Jian, Fu Yi, Zhang Zhouxuan, Yan Minchu
Yin Hongdao, Cui Hao, Guo Xiang, Zhang Hua, Cui Shan
Fu Renjun, Monk Yixing, Feng Deyi, Zu Xiaosun, Wang Xiaotong
Yao Shunfu, Wei Pu, Xu Ang, Bian Gang, Wang Pu
Li Cong, Qian Lezhi, Pi Yanzong, Yao Yusun, Wei Hanjin
Li Shi, Monk Zanning, Wang Ximing, Zhou Dunyi, Cheng Hao
Cheng Yi, Shao Yong, Zhang Zai, Yan Yanzhi, Zhang Junqing
Li Chunfeng, Shen Kuo, Shi Zhen, Ma Zhiji, Zheng Qiao
Wen Rao, Su Song, Fan Zhineng, Ji Jundao, Tao Jiucheng

Du Gao, Wang Gong, Zheng Jing, Zhu Xi, Cai Jitong
Jia Changchao, Lu Youren, Wang Zhongren, Jing Yuan, Luo Bi
Wang Kui, Li Zhao, Ouyang Zongheng, Xu Heng, Yelu Chucai
Guo Shoujing, Liu Ji, Yuan Tong, Yao Guangxiao, Jin Youzi
Wu Pu, Qi Jiguang, Xu Youzhen, Hua Xiang, Yang Shen
Chen Xingchuan, Yuan Huang, Zhu Yinlao, Xu Guangqi, Li Zhizao
Xu Xuchen, Deng Yuanxi, Huang Daozhou, Wu Yingbin, Fang Kongzhao
Xiong Mingyu, Wang Xuan, Qu Shisi, Fang Yizhi, Xiong Renlin
Bai Yu, Jie Xuan, Yu Sai, Fang Zhongde, Teng Ji
Tang Shenghong, Fang Zhongtong, Zhu Kangliu, Xue Yifu, Li Yanan
