Itō Gentaku's Medical Practice　　　Fukusen Temple　　　　Medicine Association　　　　　Eirin Temple
　Hiroi Queen's Ancient Tomb　　　Tōkō Temple　　　　Dairin Temple　　　　　Kōmyō Temple
　Complete Map of Minami-teramachi　　　Yōrin Temple　　　　Seigan Temple　　　　　Saikō-in
　Tokurin Temple　　　　　　Daijō-in　　　　Tendō Shrine　　　　　Gozu Tennō Shrine
　Chōen Temple　　　　　　Hakkaku-dō　　　　Shōun Temple　　　　　Hioki
　Cherry Blossoms of Horikawa　　　　Uguisu Valley　　　　Biography of Oda Tamba-no-kami　Musan Palace Interior
　Hachiman Shrine　　　　　　Kōbō Well　　　　Ryōgi-in　　　　　Tōkai Temple
　Five Hundred Arhats　　　　　　Sōō Temple　　　　Shinmei Shrine　　　　　Zaō Gongen Shrine
　Chōkyū Temple　　　　　　Hachiooji Shrine　　　Kameo Spring Water　　　Nanao Tenmangū
　Tori-yakushi　　　　　　Matsuyama Tendō Shrine　　Yamabuki Valley　　　　　Yōnen Temple
　Diagram of Karasu Pond　　　　Heida-in　　　　Kenchū Temple　　　　　Jōmyō Temple
　Kannon-in　　　　　　Enmyō Temple　　　　Kyōjun Temple　　　　　Yōren Temple
　Zenkō Temple　　　　　　Kōgaku-in　　　　Tōjū Temple　　　　　Kanshō Temple
