Goshōsha-ban (Chief Page)
Sekiguchi bay　　　　　　Matsudaira Ukyō-no-suke
Ōgita bay　　　　　　　 Matsudaira Izu-no-kami
Hosoida tochi-chestnut　　Ōta Settsu-no-kami
Nagano withered chestnut　Honda Nakatsukasa-daiyū
Himuro white chestnut　　 Matsudaira Buzen-no-kami
Ōnami chestnut　　　　　 Mizuno Daikenmotsu
Kanehori tochi-chestnut　 Andō Nagato-no-kami
Ōmori black bay　　　　　Honda Buzen-no-kami
Gonohe roan　　　　　　　Nishio Oki-no-kami
Ayukawa bay　　　　　　　Matsudaira Ichimasa
Oguni chestnut　　　　　 Suwa Inaba-no-kami
Karasuzawa bay　　　　　 Sakai Daigaku-no-kami
Funakawa duck roan　　　　Hori Iwami-no-kami
Eguchi bay　　　　　　　 Makino Tōtōmi-no-kami
