Baien Flora Index, Spring Volume 1

Mitsumata (paper bush), Chinese cabbage, Bean lotus, Forsythia, Rapeseed
Camellia, Azalea, Mountain azalea, Kerria japonica, Bitter orange
Japanese quince, Kerria, Enkianthus (Dodan-tsutsuji), Pine, Dandelion
Plum, Winter jasmine, Adonis, Plum, Peach blossom
Kerria, Higan cherry (three varieties), Cherry, Camellia (two varieties), White plum
Cardamine, Chrysanthemum coronarium, Carduus crispus, Magnolia, Primrose
Begonia, Celosia, Distylium, Brassica, Chinese milk vetch
Anemone, Dandelion, Cudweed, Raspberry, Aquilaria
Scallion, Viburnum, Coreopsis, Violet, Chickweed
Sedum, Coltsfoot, Cedar, Wild cherry, Tree peony
Sedum, Apple, Pear, Mock strawberry, Cnidium
Cypress, Rubus, Yellow magnolia, Garden pea, Elderberry
