【Right page】
1st Patriarch: Kyōmin　　　　　　2nd Patriarch: Sen'nyo
3rd Patriarch: Jinzen　　　　　　4th Patriarch: Shōzen
5th Patriarch: Sonren　　　　　　6th Patriarch: Myōshū
7th Patriarch: Shōken　　　　　　8th Patriarch: Raichō
9th Patriarch: Keishin　　　　　　10th Patriarch: Myōkaku
11th Patriarch: Sōen　　　　　　12th Patriarch: Kaishun
13th Patriarch: Ujin　　　　　　14th Patriarch: Ryōjū
15th Patriarch: Shōsen　　　　　　16th Patriarch: Zen'un

【Left page】
17th Patriarch: Ryūsen　　　　　　18th Patriarch: Kankō
19th Patriarch: Kakuchi　　　　　　20th Patriarch: Jōkaku
21st Patriarch: Bunchin　　　　　　22nd Patriarch: Benkaku
23rd Patriarch: Shōben　　　　　　24th Patriarch: Sonke
25th Patriarch: Gen'e　　　　　　26th Patriarch: Ninchō
27th Patriarch: Dōjun　　　　　　28th Patriarch: Prince Jidō Nyūdō
29th Patriarch: Shōe　　　　　　30th Patriarch: Shue
31st Patriarch: Prince Nin'e Nyūdō of the Second Court Rank　　32nd Patriarch: Shōnyo
