[Upper section: Nothing in particular]

Ceremonial days: 2nd day, 11th day, 21st day
Eighth Month (30 days) - Honmaru (Main Keep) - Nishinomaru (West Keep)
1st day: Shuzen - Uchi-Bunzen
2nd day: Yamato - Hon-Bunzen
3rd day: Kawachi - Matsu-Iki
4th day: Uchi-Bunzen - Settsu
5th day: Inaba - Nakatsukasa
6th day: Mizu-Iki - Shuzen
7th day: Ukyo - Yamato
8th day: Aki - Kawachi
9th day: Hori-Bunzen - Inaba
10th day: Hon-Bunzen - Uchi-Bunzen
11th day: Matsu-Iki - Mizu-Iki
12th day: Settsu - Ukyo
13th day: Shuzen - Hori-Bunzen
14th day: Nakatsukasa - Hon-Bunzen
15th day: Yamato - Matsu-Iki
16th day: Kawachi - Settsu
17th day: Ukon - Nakatsukasa
18th day: Yukie - Yamato
19th day: Uchi-Bunzen - Kawachi
20th day: Inaba - Ukon
21st day: Mizu-Iki - Yukie
22nd day: Ukyo - Uchi-Bunzen
23rd day: Aki - Inaba
24th day: Hori-Bunzen - Mizu-Iki
25th day: Hon-Bunzen - Yamato
26th day: Matsu-Iki - Ukyo
27th day: Settsu - Hori-Bunzen
28th day: Nakatsukasa - Hon-Bunzen
29th day: Yamato - Matsu-Iki
30th day: Kawachi - Settsu
