One item: Pen shells, five pieces　　Price: 17 monme
One item: Sillagos (whiting), ten pieces　　Price: 3 monme 5 bu
One item: Ise shrimp (lobster), three pieces　　Price: 1 monme 8 bu
One item: Fresh flounder (7 sun), two pieces　　Price: 1 monme 8 bu
One item: Nagara clams, fifteen pieces　　Price: 3 monme 7 bu 5 rin
One item: Top shells (turban shells), twenty-five pieces　　Price: 3 monme 7 bu 5 rin
One item: Large clams, thirty pieces　　Price: 2 monme 1 bu
One item: Fresh squid, one piece　　Price: 1 monme 5 bu
One item: Premium sea bream, two pieces　　Price: 12 monme 6 bu

One item: River perch (6 sun 5 bu per serving, two pieces)　　Price: 59 monme 4 bu
One item: True bonito (5 sun), one piece　　Price: 5 monme 4 bu
One item: Sweetfish (6 sun 5 bu), thirty pieces　　Price: 9 monme 7 bu 5 rin
One item: Salted abalone, five pieces　　Price: 3 monme 2 bu 5 rin
One item: Skewered sea cucumber, one piece　　Price: 1 monme 6 bu
One item: Short-necked clams, one shō　　Price: 1 monme 2 bu
One item: Semi-dried abalone, ten pieces　　Price: 18 monme
One item: Large crucian carp (8 sun), three pieces　　Price: 6 monme
One item: Quail, eight birds　　Price: 11 monme 2 bu
